selection,branch,Msub_Msun,rcore_AU,sigma_input_kms,vrel_kms,seedmass_kg,rho_phase_kgm3,sigma_phase_ms,Qeff_Msun_pc3_per_kms3,rho_mapped_1AU_kgm3,rho_profile_1AU_kgm3,mu_H_mapped,f_seed_required,cluster_survival_prob,collapse_overlap_fraction,rho_if_retained_today_kgm3,present_day_if_retained_pass,stage1_candidate
stage1_boundary,mini,5.994842503189421e-06,0.0035111917342151,,0.01,10000000000.0,3.2262055834590165e-25,2.646354605953788,0.2039817428999742,2.7442365126630744e-16,1.0479189188064336e-14,11.558486142178266,0.7196444151666753,0.9994684036181788,,1.0479189188064336e-14,False,True
stage1_boundary,mini,5.994842503189421e-06,0.0123284673944206,,0.01,100000000000.0,3.977416947648677e-24,2.646354600186008,2.514782149767788,3.383222879985979e-15,1.2914724544421456e-13,14.249841292385542,0.5837257994195876,0.9986219699479754,,1.2914724544421456e-13,False,True
stage1_boundary,mini,0.0001,0.001,,0.01,200000000000.0,4.36521029275331e-25,10.808343772230485,3.329498927499912,4.4792893696365e-15,1.417924517474028e-14,9.433189134180592,0.8817802634593881,0.9998979929948054,,1.417924517474028e-14,False,True
stage1_boundary,mini,5.994842503189421e-06,0.0432876128108305,,0.01,500000000000.0,4.903544197721584e-23,2.646354529078126,31.003392010518457,4.170992911526992e-14,1.5853555617966833e-12,35.13572066004179,0.2367391316797344,0.9963703914228712,,1.5853555617966833e-12,False,True
stage1_boundary,stream,2.782559402207126e-13,1000.0,0.01,0.0,10000000000.0,1.0246230748574951e-26,10.0,0.1513898380483088,2.0366995364974455e-16,1.0493424250602198e-26,8.578401773957049,0.9696444884701488,,0.976442520645522,,True,True
stage1_boundary,stream,4.641588833612792e-12,1000.0,0.01,0.01,100000000000.0,1.6957527424429249e-25,10.0,1.5196650638456413,2.0444576538737856e-15,1.750408662949769e-25,8.611078291367276,0.9659649719291148,,0.9687748526730346,,True,True
stage1_boundary,stream,2.1544346900318866e-08,1000.0,0.0719685673001152,0.1,200000000000.0,2.118859224397576e-22,71.96856730011521,3.1986037299142964,4.303191560371857e-15,8.124677304206711e-22,9.06233478568311,0.9178650090417066,,0.2607929011372732,,False,True
stage1_boundary,stream,3.59381366380464e-07,1000.0,0.1389495494373137,0.01,500000000000.0,1.6335139714649839e-21,138.94954943731375,8.973447131161219,1.2072286917295204e-14,1.355277857572437e-20,10.169485056704978,0.8179371869488857,,0.1205297604163723,,False,True
bulk_velocity_fail,mini,5.994842503189421e-06,0.0035111917342151,,1.0,10000000000.0,3.226205589665392e-35,0.2646354606462877,0.0,0.0,1.0479189188064336e-14,0.0,inf,0.9994684036181788,,1.0479189188064336e-14,False,False
